"(0.0455, -0.3709, -0.0809, -0.451, -0.311)",[ 2.562  -2.2556  0.25  ]
"(0.1241, -0.3673, -0.0774, -0.4477, -0.3073)",[ 2.6048 -2.2314  0.25  ]
"(0.1328, -0.3663, 0.1414, -0.4458, -0.3068)",[ 2.9182 -1.9847  0.25  ]
"(0.1685, -0.365, 0.146, -0.4427, -0.3058)",[ 2.9673 -1.934   0.25  ]
"(0.1702, -0.3641, 0.1434, -0.4485, -0.1228)",[ 3.2474 -1.4802  0.25  ]
"(0.1774, -0.374, 0.0682, -0.4491, -0.1347)",[ 3.1823 -1.5712  0.25  ]
"(0.1682, -0.3612, 0.1959, -0.4446, -0.1213)",[ 3.3035 -1.3885  0.25  ]
"(0.1697, -0.3665, 0.1917, -0.4496, 0.4842)",[3.5778 0.5038 0.25  ]
"(0.3659, -0.3671, 0.1929, -0.447, 0.4828)",[3.5622 0.6237 0.25  ]
"(0.3748, -0.3671, 0.1935, 0.0507, 0.4825)",[3.421  1.1764 0.25  ]
"(-0.435, -0.373, 0.1867, 0.046, 0.4772)",[3.5501 0.792  0.25  ]
"(-0.2144, -0.3681, 0.1922, 0.0529, 0.4817)",[3.5368 0.9341 0.25  ]
"(-0.337, -0.3731, 0.1865, 0.0458, 0.4772)",[3.5524 0.8353 0.25  ]
"(-0.3373, -0.3655, 0.1947, 0.1513, 0.4842)",[3.5112 0.9891 0.25  ]
"(-0.3461, -0.3778, -0.1852, 0.1422, 0.4727)",[3.5999 0.2624 0.25  ]
"(-0.3591, -0.3818, -0.1911, 0.1389, 0.4685)",[3.5973 0.1912 0.25  ]
"(-0.3634, -0.3757, -0.4038, 0.1443, 0.475)",[ 3.522  -0.1456  0.25  ]
"(-0.3598, -0.3725, -0.401, 0.1499, -0.4127)",[ 2.2759 -2.5076  0.25  ]
"(-0.3581, 0.4054, -0.394, 0.1536, -0.4016)",[ 3.473  -1.0376  0.25  ]
"(-0.3616, -0.0349, -0.4062, 0.1464, -0.419)",[ 2.9447 -1.9741  0.25  ]
"(-0.3736, -0.0343, -0.4078, 0.0077, -0.4122)",[ 2.7835 -2.104   0.25  ]
"(-0.3592, -0.0238, -0.2378, 0.0156, -0.4046)",[ 3.0318 -1.8815  0.25  ]
"(-0.3522, -0.0241, -0.1855, 0.0181, -0.4051)",[ 3.1169 -1.7883  0.25  ]
"(-0.3602, -0.025, -0.1872, 0.0109, 0.4162)",[3.5619 0.7435 0.25  ]
"(-0.3563, -0.0241, -0.1561, 0.0155, 0.415)",[3.5485 0.8285 0.25  ]
"(-0.3551, -0.0283, -0.1586, 0.0128, 0.4321)",[3.5399 0.8667 0.25  ]
"(-0.3679, -0.0351, -0.1665, -0.1932, 0.4258)",[3.5423 0.5964 0.25  ]
"(-0.3598, -0.0346, -0.1624, -0.1907, -0.1757)",[ 3.3426 -1.2624  0.25  ]
